Interviewer,Interviewee,Participant ID
"Great. I'm gonna stop my video just 'cause you were – let's go ahead and stop our videos 'cause the connection was a little bit choppy there. I wanna get everything you're saying. Okay, great. You know what's interesting, and you may not have the conversation even prior to that, but some systems are actually not credentialing their providers. It's kind of like this is a big debate within POCUS. Is it just sort of something that you say is part of their clinical skill set? They may not be archiving. Do you know what the conversations around that were for our particular health system?","I can't speak on any of the leadership above me, have they had any separate or private conversations. When I was tasked to chair this POCUS committee, it was because there was a clear understanding that ultrasound was a separate and distinct tool set or procedural skill set that people were—or providers were utilizing, but some with the best of intentions and others perhaps maybe in a way that didn't speak to their clinical skill set. There was a strong desire to make a more uniform process of that and to respect ultrasound diagnostic skills as a higher level of training beyond what they may have experienced or had skills for in their residency and medical training because in some residency training programs, ultrasound is an integrated part of that, and they will come out with a competent skill set.",G7
"It sounds to me like it's really—it was a quality assurance sort of endeavor, that there's this modality we wanna make sure that it's being used appropriately, that people are competent and then that there are safeguards in place, essentially.",Correct.,G7
Tell me a little bit about your experience chairing the committee. What are some of your observations with regard to POCUS implementation?,"I think the first thing that struck me is I had a basic understanding of how people or providers were utilizing it in the emergency room. That was very easy to understand for their sort of quick-focused assessments of abdominal trauma, recognizing was a pregnancy viable or not, and utilizing some basic functions. But then I really was quite impressed with really the scope of ultrasound utility: sports medicine, rheumatologists, nephrologists, the critical care assessment at the bedside in the ICU, things that I don't do by my personal training but really did not have a broad understanding of how frequent and how often ultrasound was adding to the clinical assessment. I think that was probably one of the more important things for me.",G7
How many subspecialities were involved in the creation of those guidelines? Can you name them?,"We had folks from cardiology. We had folks who were providing critical care anesthesia. We had family medicine, including sports medicine. We had the emergency room. We had the chair of credentials, Dr. Meacham, involved. We had myself, who was providing input from the obstetrical side. It was important because we didn't have providers who were solely hospital based. Medicine was involved, obviously. We didn't have providers who were just hospital based inpatient units, but we also had providers who were really outpatient and in that setting because they are distinct and different utility for that. Nephrology was involved. Trying to think, am I missing any of the subspecialties? We tried to make sure that we had a broad scope and that people had representation so that when the final document came about, the voices were heard.",G7
"To my knowledge, I don't think some of these outpatient folks are using it a ton yet, but is the anticipation that they would be doing it more, or I guess how did you chose those particular stakeholders? 'Cause it seems like, honestly, literally everyone is gonna be moving toward this technology because it's just better than the bedside tools that we've had traditionally. How did you guys choose those initial stakeholders, and it sounds like there were a lot.","It was really focused on where there was already some level of use organizationally as well as what is being done across United States, for example, sports medicine and rheumatology was invited, but actually I don't think they participated on a very frequent basis because we knew that they were evaluating joint spaces and utilizing the tool for that, for needle-guided procedures. Family medicine, much like obstetrics, cares for patients during pregnancy or evaluates women across the scope of their reproductive careers for gynecologic exams, so we needed to make sure we had certain modalities and certain utilities of use for ultrasound, whether it be transabdominal approach, transvaginal approach, needle-guided procedures. We needed to make sure we had people who could speak to those skill sets, and really their level of training and their comfort with those skill sets because it would have been unfair to consider this only as an inpatient document because that's not how the procedure is being performed uniquely.",G7
"What was the impetus for sort of reconvening this task force? This is sort of this issue of credentialing for POCUS has been an ongoing conversation I think dating back to before I got here in 2016. I think the initial document was—the ultrasound credentialing document was created, I don't know, early-2000-teens. What was the impetus for sort of revisiting this topic?","My understanding or sort of the push to have me reconvene this was that there had been multiple attempts to get some level of ownership within each of the different divisions and departments where (1) people felt that they were represented in the document, and (2) that we were moving forward with a document that detailed our level of experience and desire for quality. My understanding is that a consensus had never quite been reached, so the document had never had serious undertakings that had gone back to the credentialing committee and then the medical board, then finally, the medical staff for approval. It just never could reach the threshold where there was enough agreement that modifications were put in place. It sounded as though projects had been started and then unfortunately failed to meet the mark and then never moved forward.",G7
"Got it. Got it. It was basically just bringing it over the finishing line of sort of a policy that there was consensus on. I wasn't sure, like I know that that document that took your sweat and blood to kind of get in shape, has that been approved? 'Cause the last time I saw the credentialing document, it looked like it hadn't been updated, based on the changes that that task force—where is the document at this point in the policy?","It did take quite some time, I think. We as a group meeting met for over a year, and then it took two trials to get through credentialing.",G7
"Oh really? Okay, that's interesting.","It took two trials to get through the medical board before it could go to the medical staff, and so only this fall was it recently approved. Part of the reason for that is there was a separate desire that once this recommendation for privileges and credentialing of providers in point-of-care ultrasound, we wanted to make sure there was a quality structure, and that only went to the medical staff in January for approval to create a subcommittee, which is really a quality subcommittee that will then report up to CEPS, which is the clinical effectiveness committees that Dr. Wyler chairs.",G7
"Okay. Sorry, so it went to the medical board and then went to the—and then just recently went to the medical staff. Is that what you're saying?","Correct. The quality part. Once the board had approved the privileging, that document now can be moved forward and be utilized for privileging, but the additional document which created a bylaws change because all of our organizational structure is within the bylaws document, and so we had to request an amendment to the bylaws. That required a couple of times to get through to create this POCUS quality subcommittee that presents to CEPS.",G7
Got it. That was the addition that—,That group has not even been formalized yet.,G7
"Okay, so quite an undertaking. You're saying that the reason it didn't go through is that the medical board wanted this—they're like you need to add in the creation of this quality committee.",They wanted some additional line items to be a part of that quality program.,G7
Okay. They basically came back to you with specific additions or things that the stakeholders hadn't kinda come up with on their own.,"Yeah, just some of it was language change, which was quite simple, and then others was to increase some of the sort of the focus of that—the duties of that group.",G7
"Got it. Going forward, when you think about now you know all of these different applications of ultrasound and all the different subspecialties involved, and the fact that most specialties really don't—they're not coming out of their training with these skills, right. A lotta folks are either picking them up as faculty because it's just the technology's so new. What do you think this is gonna look like going forward? You've given a ton of work to it, but what do you think is really needed to ensure sort of the quality that we're striving for as an institution?","That's a good question. In an ideal world, frankly, what I see is someone comes into the role of really the POCUS champion or the POCUS chair who sorta has some level of governance over that quality committee and helps understand sort of proctorship abilities, understands electronic medical records, understands archival storage of images, understands how to set up quality review processes for ultrasound utilization, and then even more importantly is involved in some of the decision-making for really supply chain because, as you are very aware, these machines can be as much as a transducer hooked up to a cell phone.",G7
"I wanna be respectful of your time, but just a couple of additional sort of more pointed questions. Do you think, from the system perspective, that the—and who asked you to chair this committee? Was it one of the C-suite? Who had charged you with this?","… knowledge of the prior road of POCUS and knew that it had never quite passed the finish line. They also knew that I was from the Department of OB-GYN, using POCUS on a very frequent basis, so they thought perhaps having somebody who had sorta used the tool intimately may have a better opportunity of gathering consensus, is my feeling.",G7
"Got it. They saw this need and they thought you were the appropriate person given, obviously, how important this is to OB. That totally makes sense. I guess, do you think that they were worried about malpractice? Do you think that's one of the reasons that they've really tried to kinda focus on this?","No, I don't. I think it was more to drive just some very basic organizational kind of things. If you provide imaging, you provide a report and an image. I think they wanted to make sure that ultrasound wasn't being used haphazardly for clinical diagnostic purposes, and that we as a community of faculty had the highest level of quality. I don't think malpractice was ever—those words never came up in any of the conversations I had. It was more what drives quality. How do we assure that people are utilizing the tool correctly and not tinkering with a diagnostic procedural skill without clear understanding? I think there are many steps that are ongoing because what we've done is we've done something on a faculty side, but this has to cross and meet the hospital side as well, so there has to be some collaboration and communication with our nursing resources as well because this comes down to the very basic things that we do.",G7
Is the hospital sort of perspective like that's wonderful to hear that it's really driven by just the desire for high-quality care and making sure this tool is being used optimally within the health system because I'm sure they have other priorities and they could kind of not necessarily put attention to this. Do you think that they want to move toward investing in infrastructure and training in order to—and quality assurance and so forth? What do they want to invest in order to help ensure quality? 'Cause it seems like they have been investing.,"I don't have an assessment of that. Everybody wants something to be done, but they also want it to be done inexpensively and to save resources, but time is a resource. To me, you put somebody who has the knowledge and the skill set, time has to be dedicated toward that, and time costs. I can't answer those questions, honestly. I've not been involved in those higher-level discussions. To me, I feel like we have to get the basic components down, and then the chair of that POCUS group can really move those processes forward and state this is what we need, this is how much time it's gonna take, this is the potential cost to underwrite this type of a quality measure. Those are skills that are beyond my skill set, frankly.",G7
"Any other thoughts about—how long is this gonna evolve, do you think?","To get the one document. I was like this is pretty much written already, but clearly I was wrong on that. I think you have to identify a chair of this POCUS committee who can work on some of those quality processes, work in supply chain with our nursing leadership, work with radiology. We have great resources in radiology who have been involved in the archival storage system with electronic medical records because those are the tools that we utilize every day, and why are we making it so hard for providers to use these resources? Somebody who has really a passion to drive those things forward, even just small wins should be looked at as great things. Even if the pie in the sky isn't reached in the first couple of years, it's working and achieving those structures to me is valuable.",G7
"Yeah. I wanna be respectful of your time, so I'm gonna go ahead and stop recording.",[No Reply],G7
"Navigate. Okay. Find the right interview guide. All right. We are interviewing stakeholders to understand the determinants of implementation of lung ultrasound. You've been asked to be interviewed because you may be affected by POCUS implementation. Interviews will be de-identified, recorded, and transcribed. Do you consent to being interviewed? Deb?",My zoom took a [laughter 00:37].,G2
It's all right.,"- I had to sign in and sign back out, so—",G2
"Oh, okay. Do you want me to start over?",Are you sharing something now?,G2
"No, I had just done a little, a verbal consent. I'll start over. We are interviewing stakeholders to understand the determinants of implementation of lung ultrasound. You have been asked to be interviewed because you may be affected by lung ultrasound implementation. Interviews will be de-identified, recorded, and transcribed. Do you consent to being interviewed?",Sure.,G2
"Okay. Please keep in mind that there are no right or wrong answers to any of the questions I ask you today. If a question is unclear, please just ask me to clarify. What is your professional title and job description?",I guess you want my admin one.,G2
Yeah.,"I'm a senior medical director for UC health, for clinical documentation integrity.",G2
Okay. Great. Are you just here at [unintelligible 01:44] or what hospitals do you oversee in regard to that?,"Well, I directly work with on a frontline level with the Denver Metro hospitals, but I'm the senior medical director for the system.",G2
"Okay. Can you describe what those responsibilities entail before COVID and maybe after COVID too, just briefly?","Yeah. When I first started doing all this, I was doing utilization management care management and CDI, and of recent in the last few years, I've whittled down to specialize in the CDI piece. I work as basically a liaison between the CDI nurses, coding and clinicians, and provide education, not just on day-to-day specificity of documentation, but also, on how to frame things in such a way that quality metrics are attributed appropriately to our hospital and our clinicians and the service lines. Then I also I work very closely with quality on various initiatives that involve not only documentation, but spill over into the clinical.",G2
"Okay. Oh, I'm talking to the perfect person. That's great. Then with COVID have any of those responsibilities changed? I'm assuming there are a lot of issues around CDI and all that stuff with COVID, but—","Yeah. As you can imagine, the CDI nurses have been pulled every which way that loose, they actually we're doing the CCIs, they were the ones filling out the CCIs. A lot of them got pulled for that as well as for clinical. We've had to step up as the physician advisors and medical directors of CDI and come to escalating things to physicians who are more than direct contact than it had been before.",G2
"Got it. Okay. If that's the case then my next question is, I told you a little bit about lung ultrasound and I'm wondering, how do you make—how do you discuss an intervention like this where you feel like there's gonna be a clinical benefit? How do you make it something that the administrators will invest in and come on board with?","Well, obviously there's a cost savings, that's important, but also before we did this interview, I thought we were talking about just specifically POCUS and specific things with the lungs that we were already doing. The reason that, that was important too, was, is one of the patient's safety indicators through DHHS is Iatrogenic pneumothorax. You can imagine there, well, where in the setting of pneumothorax, the data could be much improved. I would presume from doing direct visualization, thorax and teases, as opposed to doing those blindly. Anything that can show value to patients and improve outcomes obviously is important.",G2
"Oh, great. We know that's all well-documented the literature that patients love POCUS and so it's actually not even something I am collecting data on because it's so well known. How are those metrics acquired and talked about in our hospital in terms of the patient experience?","Yeah. The patient experience specifically part that's under not my umbrella it's really under Patrick's and now it spread out in a different way, but I think before it related a lot to surveys, the data that came back through CMS data, the specific questions that were asked of the patients that sort of thing. Then we would actually—we would compare how we were doing and with patient experience against best in class I'll call, and as well as along in our system a competition across our system to be the best there too, as far as UCH.",G2
Do you feel like that—is that another big driver of  what's invested in?,"Oh, yeah, I think so. I'm jumping ahead, but certainly if that data is already there and clear, that certainly would be in a courtroom to include in a case for this.",G2
Got it. Okay. What else?,"'Cause if you think about it, that's big driver, not only in reputation, but also on value-based purchasing and other things, so—",G2
"Right. I'll just tell you a little bit about the billing data that we've collected. Basically, we're collecting $23 per lung ultrasound and in terms indications for lung ultrasound. It's basically again, there are centers that are using it as for—and the data supports using it as first-line for anyone who is dismic 09:08 or anyone who has any changed decompensation in their respiratory status, and also actually in the emergency room. I'm actually working with the ED to implement among their providers as well. The other piece of it actually, is that this is not unique to hospital medicine. I think we're one of the people that are really pushing for it nationally, but it's also actually in other subspecialties.","Well, I think anything that is far reaching, whether it's far reaching across the hospital or especially if it's something that's far reaching across the system is always an advantage.",G2
What role do you think guidelines and studies play in adoption by administrators in supporting the infrastructure for something like this.,"I think that that doesn't hurt and when you present to whatever group you're gonna present to obviously not going into a huge level of detail, 'cause there will be people probably that aren't necessarily clinical, but getting the salient points across and obviously the broader the audience of the studies the better.",G2
"Based on what I've told you so far, what pitfalls do you potentially see in implementation or from the perspective of your perspective in terms of what you do or some of the other stakeholders that I basically talk to clinicians, I don't really talk to any other administrators. Anything else that you think is a potential pitfall or a facilitator that I should talk about?","Sure. I think the two things that come to mind and I'm not sure exactly where these would fall into those categories, but just things that come to mind is as if we're going to be doing more ultrasounds than study and radiology, radiology is certainly a stakeholder in that. I think we've already gotten a good relationship with, as you mentioned the ICU folks, so that probably is not an issue. They're probably be thankful that those are being done out on the floor as well. Again, the role or lack of role of need for radiology techs to come and help what impact that is. Is that gonna be less work because they're not having to come and do films as much as there's gonna be more work for some reason? What that impact is gonna be? Would be a couple of things I can think of offhand.",G2
"Actually, they're very much on board, which is really interesting. It was actually the—actually one of my radiology—I was thinking about it in heart failure and then it was actually one of my radiology colleagues who we're in the same research training group. He was like, ""Can you please get people to stop ordering chest x-rays with your lung ultrasound?"" That's how that conversation got started in terms of the de-implementation or replacement of chest x-ray with lung ultrasound in terms of my own work.",Are you looking now mostly at UCH?,G2
"Right now, we're looking at UCH, but I think that this is probably the same. Right now, I'm focused on UCH because this is where our pilot study is gonna be going forward, but I think that these principles hold nationally with the exception of maybe the VA.","I just don’t know if [crosstalk 14:26] financial impact that's a little bit different in the private hospitals than might be at the university. If you're thinking of expanding it outside of academia, I would certainly re-engage any of those local folks as well.",G2
"That's a good point. Yeah, and in particularly if they're not doing the really fancy tertiary care center tests, right? Like chest x-rays, maybe something because—","I don't know what that impact would be financially on other or other on radiology, but it would be good to know whether you started doing that or are implementing things I would think.",G2
"Yeah, that's a great point. Yeah. Right now, we're just really looking at academic centers. I think the VA is the other place where no one really cares too much about, tuff too much because of their billing set up, but yeah. I think that those are all my big picture questions. Actually, what can you think of another initiative that, or other things that have been taken up by the system successfully, and then some that have, have not and talk about sort of the differences between those so I can learn from successful examples?","Yeah. Gosh. I'm trying to think, because in CDI the focus has been a little bit narrower as far as 'cause a lot of this stuff is more utilization management. You think about maybe analogies would be what of the super expensive, maybe not covered chemos and other high-cost drugs are accepted those kinds of things. I think in that setting, if people say I want a drug because I want a drug that's not very effective, [laughter] but if they can show the data on it to make P&T committee and all the ones involved be supportive.",G2
"Got it. As much as you— Oh, go ahead.","Also, in thinking about the respiratory viral panels and the flu tests and GI and PCRs and when to test for C. Diff and use the toxins or not. All those things apply as well. Its really data driven.",G2
"Then who hears these arguments? How does that work? You have some clinician with an idea, they're getting their arguments and ducks in a row. Then how does it work up the chain to the person who's gonna make the decision?","That's a good question. 'Cause there's been in the last few months, a lot of a fair amount of re-organization of committees, like trying to make sure that they make sense that there's a good reporting structure that there aren't excessive duplicative committees and things like that. I'm thinking to start with the players that historically have been looking at these things are our COO.",G2
That'd be great.,- offline and try to help figure it out that what would be the most effective way to go with it.,G2
"Okay. Thanks. Then, so it sounds like it's basically cost of it, evidence of efficacy and patient experience. Those are the big drivers?","Yes. Of course, if they can do anything to automatic quality metrics, like I said, in the setting of if you wanted to do ultrasound, which you're already doing to do a thoracentesis and it can decrease the number of deems that we get from CNS for having, Iatrogenic pneumathorax, figuring that, that's a benefit.",G2
"Yeah, definitely. Okay. The procedural piece. Where are the quality metrics? Is there a list of those?",I was gonna show you this. I was actually gonna collect some data for you for what turned out to be the wrong thing.,G2
"Oh, you're so sweet.",Where did I have this? I'm trying to find a slide for you that I can share here in just a second.,G2
"Yeah. I know that the Medicare, like the CMS, they publish every year, new reimbursement guidelines. Is that right?","There's a bunch of different things. At CMS there's the hospital readmission reduction program [crosstalk 21:00] there's purchasing program. There's the hospital acquired conditions reduction program. For the hospital acquired condition reduction program within that post-op these patient's safety and or caters lie of which one is the Iatrogenic pneumothorax, and essentially, all of these programs have their own financial effect, but for that one in specific, like if we're in the bottom, I have to look at my slide, but if we're in the bottom core tile of hospitals in regard to having too many of these patient safety indicators, then our entire Medicare reimbursements are decreased by 1 percent, which doesn't sound like a lot if you think about how much Medicare there is out there that's a lot. Then you start adding on other things. There are also value-based purchasing agreements with various payers from time to time.",G2
It's complex.,What's that?,G2
It sounds very complex.,"It is very complex. I can explain this all day, if you wanted to go to —I think I have a link to the HRQ site and it basically goes through the various patient safety indicators involved with that. Also, I'm just blabbering right now a lot of stuff, but one of the programs in hospital readmission is heart failure readmissions. If we're more competent as to whether or not something is heart failure, we code that correctly, then obviously that can make a difference as opposed to calling something heart failure that's not heart failure.",G2
"Oh, yeah. Yeah. I was thinking about just the","Or at even the worse calling it heart failure and it actually wasn't heart failure. Then they come back in because for heart failure, the readmissions are all costs. If I'm admitted with heart failure and then in a week, I get hit by a truck and come in with a femur fracture that counted as a readmission. You wanna make sure that index admission is coded appropriately.",G2
Is it the quality officer for the hospital that is responsible for keeping tabs on all of these different metrics and troubleshooting where there's a problem?,"Yeah. We work on that actually very closely together. I actually do all the reviews for Denver Metro when there's a potential patient safety indicator, and I'm the second level review. The first level review is one of the CDI nurses and they look and see if there are any exclusion.",G2
Okay. That is so complicated. Then my understanding is that we've always done very well with heart failure. In terms of readmission and that was never something that they were focused on in our particular hospital.,"Again, it depends on what data that you're looking at too, because again, this is way in the leads, but for example, Visiant has various service lines within Visiant and there's the cardiology service line. Then their metrics are based on DRGs that we may be taking care of the patient for.",G2
