Interviewer,Interviewee,Participant ID
"The pandemic shut down our training courses, but we’re getting a lot of… will tell you, we’re getting tons of emails.","Perspective, from what I’ve—I look at the clinical revenue data all the time. [Laughter] The training courses and offering that as a paid enterprise, [laughter] that’s where we’re gonna be [laughter 11:20]. It’s never gonna be in the clinical revenue. We’re just not gonna collect enough, I don’t think. Unless we can really crank through nine procedures a day—or it would have to be, probably, 10 procedures a day to be profitable.",G3
Ten diagnostic studies.,Sorry. I’m looking at the procedure service numbers.,G3
"Oh, for the procedure service, it’d be—you’d need 10 to be profitable. Then that would allow—and then it would pay for some of… time and that stuff. I see what you’re saying.",I think the training classes are really where we’re gonna be able to make some money.,G3
At least cover costs.,"At least cover costs and be able to also protect time for [unintelligible 12:08] review the trainings and that kind of thing. The last courses that we did, it wasn’t—",G3
Big enough.,"Had we been able to do that May class, I think it would have. We would have at least broken even, maybe even a little bit extra to cover some of … time. We just didn’t get there. I think that that has a much better chance. The taxes are also different. Clinical revenue gets taxed by everybody. The teaching thing, there’s just less tax on that by quite a bit. We’re at 28 percent tax on the clinical revenue, but I think the GAR was nine percent or eight percent, maybe. The taxes that we have to pay on that money coming in is just so much lower that we’re able to keep a lot more of that revenue.",G3
"That $23 that we’re seeing—I’m just thinking, too, for generalizability for the rest of hospital medicine who’s trying to do what we’re doing, and they don’t even have—they don’t even have this initial billing data yet. It’s nice we have that, so we can extrapolate a little bit. If we actually had more providers doing it on their own—’cause, really, the point-of-care ultrasound is about the clinician who’s taking care of the patient. It’s not the procedure service coming and doing it. This is, hopefully, just a bridge to having everybody using it on their patients and feeling comfortable using it. Based on the indications for lung ultrasound, for a group our size, I feel like, if we had more people using it, we could hit 10 diagnostic studies a day. Are you saying that even with—and that’s $230 a day collected. Are the taxes such that that even isn’t necessarily gonna translate to, for instance, protected—a 10 percent FTE for somebody to quality assess those in the course of a year?","We would get back from that—we’d essentially get 82 percent on that. We would get about $66,000 a year.",G3
"You could pay a couple people to—hopefully, I’m translating this correctly. If it was 66,00, then that’s, what, I don't know, a 0.3 FTE or something like that or 0.2 or something.","I would think about—it depends on the person. There’s some variability. That would get you about, probably, 0.25 FTE, around there.",G3
"Okay, good. I just wanna know that I, roughly, understood those calculations. We talked about the financial aspects. Any other hidden costs that I’m not thinking of that we haven’t talked about?",Not that I can think of. The taxes are [laughter] the ones—that one kills us. It’s just a lot.,G3
"For that $23, what would we actually see after taxes?","We actually get 82 percent of that. I’m tryin’ to think of where—hold on. Lemme just make sure that this does not include—the report that I’m running, I don’t think it has any of the taxes.",G3
"Taxes, yeah.","Yeah. No, this all pre-taxed. We would take 82 percent of that. That’s what we get from CU Medicine. Then, the Department of Medicine has their piece of that as well.",G3
Right. Then we essentially tithe to the department.,"Yeah. Some of it goes to CU Medicine. Some of it goes to the dean, to the School of Medicine. Then some of it goes to the Department of Medicine. I think I said 28 percent, but that’s not right. Hang on. Sorry.",G3
"That’s okay. No, that’s okay. This is all really good information. I’ll probably have you break it—show me in a spreadsheet, at some point, where those—I’ll be doing a—we’ll be doing a costing study, where we’re looking at all of these hidden—these costs that aren’t totally obvious to anyone but you, essentially. [Laughter]",It is 28 percent. Sorry. Dean’s tax is 10 percent. The department chair tax is 10 percent. The CU Medicine billing fee is eight percent.,G3
"Right. That can all change, I’m guessing, depending on who the leadership is, or is that pretty standard?","I don’t think that’s gonna change in our university system. If you’re looking at publishing this nationally or something, other institutions are gonna have different outcomes.",G3
Setups.,"Well, I don't know the exact structure, but I think because Denver Health is one entity, they don’t have a separate billing company, they don’t have a separate—it’s one thing. It’s not a university hospital billing company. I think it’s probably different for them. They also have to cover all of their administrative costs out of that one bucket. It’s just split differently. I don't know exactly what their tax percentage is. Eighty-two percent is what the whole—what all clinical revenue is taxed. We have that additional 10 percent because we live under the Department of Medicine.	When I worked in neurology, we did not have—it was just 82 percent that we got back. We had just the 18 percent tax that go to the dean and CU Medicine. Here, we also pay our taxes to the department. It just depends on the structure you’re in. If we were to, someday, become our own department, we wouldn’t have that extra 10 percent. That would just be ours.",G3
"That makes sense. How does the division of—anything that increases our revenue, the department would like. Then, in terms of the professional fees, how does that—what does the hospital think about that? Are they agnostic to that? It’s not really, necessarily, money they’re seeing, the professional fees. How does that work?","The way it works is the professional service fees that we collect go to cover our costs. They go to cover physician salaries. What is left of that—we take our cost, our total cost. We take out the clinical revenue, what we collect in professional service fees. Then the hospital pays the rest. They fill in the gap. The more money that we can collect in professional service fees, the less they have to offset.",G3
Nice.,"Even if they’re not directly seeing any profit from the professional service fee revenue, they’re—it’s less expense to them.",G3
Got it.,"I think, if there are any facility fees associated with [unintelligible 19:25], I just don’t know. I only look at the professional service fees. I imagine that there’s some portion of facility charge for each of these as well.",G3
"They’re all DRG, though, for us.","The hospital does get that, and it does get attributed to those patients that are on an in-patient medicine service.",G3
"Let me throw some numbers at you. I have been doing little discussions with radiology and radiography as well because lung ultrasound is, potentially, a replacement study for some situations. Every stakeholder wants there to be less chest X-rays, except for the clinicians ordering them, [laughter] essentially. They order 50,000 in our hospital a year. Radiography actually did its own little micro-costing study or analysis where they calculated that the hospital—it cost about $30 per chest X-ray in a DRG environment because you’ve got to pay the technician and the radiologist. Radiology, when they charge for them, I guess they get reimbursed a dollar—less than $2 for a chest X-ray. This is what the radiologists are telling me.	One of the other ways you can demonstrate value is by increasing efficiencies like that. Lung ultrasound, which you can get quicker, is more accurate, blah, blah, blah. No radiation. Patients love it. If you can get folks using it and then decreasing this other low-value test, would that be compelling, do you think? Is that a big enough attraction to administrators and people making decisions about supporting infrastructure and so forth?","It depends on the total dollar value. How much money would that save? Would it be enough to decrease their staff pool? Would it save them an entire T or two? In which case, probably. Probably, it’s a pretty compelling argument to them. Not so much for the people who are in those positions, who are not gonna have a job.",G3
"It’s funny. When I talked to radiography, they were like, “What we would do is if half of the chest X-rays went away, no one would—we would be fine. We would be happy. We would probably just cut down on people’s hours. We wouldn’t necessarily have to”—which I don't know. I just wanted to throw that out there ’cause I thought was an interesting take.","They might be having people work overtime, just like we do with our moonlighting shifts because it’s less—it’s cost effective to do that to an extent. There comes a point where people are just not gonna sign up for extra shifts anymore ’cause there’s too much. It is more cost effective to have some amount of moonlighting. I wonder if that’s what they’re doing, allowing people to pick up extra shifts for extra money so that they’re not overcommitted on their FTE, and they wouldn’t have to lay anybody off. It probably would save them money because they’re not paying for those extra shifts, at least to some extent. They wouldn’t be paying for those extra shifts. If they’re being reimbursed so poorly for these, then it’s probably costing some of their profit anyway to pay for those extra shifts. That makes sense.",G3
I’m sorry. I didn’t mean to cut you off if you had a thought. I’m trying to remember what question I had asked you.,I can’t remember now what it was anyway.,G3
[Laughter] Sorry about that.,[Laughter] No worries.,G3
"I guess, in your experience, is it really about sitting—it’s really about, granularly, this is what you’re gonna save if we do this. This is what this cost. This is what this cost. If you implement this and it either covers the cost that we’re spending now, or it improves the cost and maybe adds to patient satisfaction, then that’s the thing that’s greenlighted, to a certain extent?","Usually. You have at least the best chance with that. If you can present—if we move forward with this, it’s gonna cost you this much money, but it’s gonna save you this much money, and also, your patient satisfaction scores should increase because you’re saving people having to get a chest X-ray, then, yeah, that’s a pretty compelling argument, depending on exactly what those numbers look like. That could be a pretty compelling argument to the hospital. They care a lot about, obviously, the bottom line. Also, those patient satisfaction scores are really important for them, too. 	If you can do both, [laughter] even if you’re not really moving the moving significantly, but if it’s something that’s gonna both save them money and increase patient satisfaction scores—or even if it doesn’t necessarily save money but it’s a breakeven or only costs a little bit but increases the patient satisfaction, I think you’ve still got a pretty good chance of winning that argument.",G3
"Even if there’s an up—the ask would be support for—more support for provider training. We have a small ask for—a relatively small ask for some middleware software that would allow us to better teach. There are some upfront costs that we would want—would need to be in place to see those benefits longer term. Is that something that they’re used to seeing as an investment, essentially?","Yeah. Usually, when we submit proposals to them, we do it on a three-year basis. We say, “Here’s how much it’s gonna cost you in the first year, second year, third year.” If they can see that there’s an investment out front, in that first year, it’s gonna cost a little bit more, but then in the next two years, it’s gonna decrease dramatically, then they’re looking at that whole picture. You’ve got a better chance there. Usually, what we’re saying is it’s gonna cost pretty much the same for three years. Actually, it’ll increase a little bit with salary increases.	Mostly we’re looking at just increasing FTE, but for programmatic things, there’s always gonna be some additional upfront cost. If you can show that it will decrease in subsequent years, I think that’s a pretty strong argument.",G3
"I think they know that this is where we’re moving, regardless. That’s helpful.","I think that is another piece of it, too, to say, “We wanna be at the forefront of this and not playing catch-up five years from now.” Not necessarily breaking the ground on it, but we wanna be leading, be one of the national experts in this. We want other people to look to us as a model for how to roll this out. I think that helps, too, because it brings recognition to the hospital. That’s something that they could market and that they could really praise the clinicians for and really make the hospital look good.",G3
"Patient satisfaction, national reputation, obviously the cost. We can make those arguments—those are a little bit harder to get at, and we need a certain amount of implementation of the tool before we can actually show that data. There is data from other centers. People have published on the fact that if you implement point-of-care ultrasound in your ICU and everybody feels comfortable using it, you don’t get as many echoes. You don’t get as many CAT scans or X-rays. How compelling is data from other places in this initial investment?","We always try to present national benchmarks on things, or whatever information we have about other places who have done something similar when we have it. I will say, it doesn’t always help the case. It depends on what you see. If you have really strong cases from other institutions that have already done this and it’s been successful, I think it would help. If it’s, “Other groups have tried it and they’ve seen some success,” and it’s more lukewarm results, then I would just leave it out. If there are really compelling cases that there’s proof that their patient satisfaction went up, their efficiency went up, they’ve reduced their cost, I think, definitely include that.",G3
"Clinical practice guidelines and actual randomized controlled trial results and stuff, is that often presented in these sorts or things, or not really?","I’m not sure. We haven’t done a whole lot with that. We did for addiction medicine, but then that ended up not being approved at the hospital level anyway. We got it through the UPL grant. I think there just—there was some amount of research, but not enough to make the case strong enough for them to agree to it.",G3
"There’s some pilot grants for quality improvement stuff and everything. Is there another mechanism by which people get, basically, support for a pilot?","UPL has been the one funding source that I’ve seen for that, in the clinical realm.",G3
What is UPL?,"It’s the upper-payment limit. It’s something to do with—we have hit certain CMS metrics, and then we get a reimbursement because there’s an upper-payment limit with CMS. I can’t remember the credentials. You have to have a certain number of CMS patients. Medicare and Medicaid patients that are part of your patient population. Then we get some reimbursement from them for seeing X number of patients. There are some other metrics. It’s not just the number of patients. There are some other metrics that we have to hit as an institution. As a university system, we get money back. Some of that comes to us in bi-annual distributions. Some of it goes to the organization for programs that are public health-minded, like addiction medicine. It’s funded at that level. I know, we submitted a proposal for med peds service, but that did not get funded this last year. I’m not sure if Marsha’s resubmitting that one or not. It’s that type of thing. That’s the only thing that I have seen where you can get support for a clinical service rather than a more traditional research or QI project or something.",G3
Got it.,"For actual clinical service outside of the hospital. I don't know what exactly their criteria are, so I’m not sure if this would be a strong [crosstalk 30:50].",G3
"Probably not. Opioids makes sense ’cause it’s very much a public—it’s a huge public health problem, obviously.",Peds was not strong enough for it either. I’m not sure that this would—,G3
"I think I know which initiative you’re talking about, a transition of care between peds and adult medicine.",Exactly. Yep.,G3
"Honestly, I could talk with you, literally, all-day long about this stuff ’cause it’s so complicated, and I know so little about it. This was super helpful. I think I’ll probably—as we put together these proposals and try to write up the—understand the billing and stuff and write them up, I’m sure I’ll be coming to you again to help me with it. Thank you so much for your time. This was super helpful, Leah.","Yeah, of course. I will say, for publication purposes, we—’cause we’re going through this right now with the addiction medicine service that Susan is trying to publish on that. Both CU Medicine and Department of Medicine said she could not publish on the specific numbers for clinical revenue collection rate, that kind of thing.",G3
Interesting.,"I think generalizations are okay, but you can’t say that we had a 20 percent collection rate. We’re not allowed to publish that.",G3
Interesting.,Just something to keep in mind. Try and do the right thing.,G3
I’ll loop Susan into it so she can tell me how she ended up handling it.,That just came up this week. I’m not sure if she even knows yet what she’s gonna do.,G3
"Oh, man.","Both CU Medicine and Department of Medicine said, “No, you can’t publish this.”",G3
That’s amazing. That’s really interesting.,"She had specific numbers. She had total charge amount, total collection amount, collection rate. They were just, “Nope. Those types of specifics cannot be published.” They did not give any guidance on what could be published. I think more general information of—we had a collection rate that was comparable to our general collection rate for other types of procedures, or something like that might be okay. You could say whether it was better or worse than other collection rates that you see across your division, maybe. Something more general, but the specifics, they were—",G3
"That’s really good to know. Right now, with implementation science, cost is huge, trying to capture that. People can have a sense of what it costs, and if it’s gonna work in their health system. That’s really interesting that there’s this barrier to disseminating that information.","There’s a little disclosure in the—even just to send you that report, I had—I have access to—it’s called the line-item payment analysis system, or something. I have access to that specific system, but I had to go through additional special training. It was all about what you can disclose [crosstalk 34:00] to the university. We can use the information internally to make decisions on service lines and that kind of thing and different programs that we wanna start or whatever. We can use it internally, but we absolutely cannot share it outside of the university.",G3
You were able to—how did Susan find out? Did she think to ask someone?,"She did. Yeah, she did. She just sent me an email saying, “Hey, I’m writing up a manuscript. I wanna publish this sentence.” I was like, “I don’t think we’re gonna be able to do that, but I’ll check.” I sent it to both CU Medicine and the department and both said, “Absolutely not.”",G3
"Interesting. Well, thanks for the heads up. That’s super interesting.",I wouldn’t spend too much time on the specific numbers because you can’t publish them anyway.,G3
"Okay. [Laughter] Okay, good to know.","We can say that it’s comparable to our general collection rate, something like that, I think, is acceptable.",G3
"What is our budget? What’s our annual budget in terms of how much we collect? This is a tiny, tiny amount.",It is.,G3
It’s really just about covering costs. That’s how you think about it.,"This year, 13,471 is our offset budget from the hospital. For our total, total cost, we’re at 25,200,000.",G3
Geez.,Thirteen million of that is covered by the hospital. The rest is in our professional service fee collection.,G3
I see. I’m gonna let you go. Thank you so much.,"Yeah, no problem.",G3
I’ll be in touch.,"Okay, sounds good.",G3
Bye.,See ya. [Pause 35:40 - 35:46][End of Audio],G3
"Navigate. Okay. Find the right interview guide. All right. We are interviewing stakeholders to understand the determinants of implementation of lung ultrasound. You've been asked to be interviewed because you may be affected by POCUS implementation. Interviews will be de-identified, recorded, and transcribed . Do you consent to being interviewed? Deb?",My zoom took a [laughter 00:37].,G2
It's all right.,"- I had to sign in and sign back out, so—",G2
"Oh, okay. Do you want me to start over?",Are you sharing something now?,G2
"No, I had just done a little, a verbal consent. I'll start over. We are interviewing stakeholders to understand the determinants of implementation of lung ultrasound. You have been asked to be interviewed because you may be affected by lung ultrasound implementation. Interviews will be de-identified, recorded, and transcribed. Do you consent to being interviewed?",Sure.,G2
"Okay. Please keep in mind that there are no right or wrong answers to any of the questions I ask you today. If a question is unclear, please just ask me to clarify. What is your professional title and job description?",I guess you want my admin one.,G2
Yeah.,"I'm a senior medical director for UC health, for clinical documentation integrity.",G2
Okay. Great. Are you just here at [unintelligible 01:44] or what hospitals do you oversee in regard to that?,"Well, I directly work with on a frontline level with the Denver Metro hospitals, but I'm the senior medical director for the system.",G2
"Okay. Can you describe what those responsibilities entail before COVID and maybe after COVID too, just briefly?","Yeah. When I first started doing all this, I was doing utilization management care management and CDI, and of recent in the last few years, I've whittled down to specialize in the CDI piece. I work as basically a liaison between the CDI nurses, coding and clinicians, and provide education, not just on day-to-day specificity of documentation, but also, on how to frame things in such a way that quality metrics are attributed appropriately to our hospital and our clinicians and the service lines. Then I also I work very closely with quality on various initiatives that involve not only documentation, but spill over into the clinical.",G2
"Okay. Oh, I'm talking to the perfect person. That's great. Then with COVID have any of those responsibilities changed? I'm assuming there are a lot of issues around CDI and all that stuff with COVID, but—","Yeah. As you can imagine, the CDI nurses have been pulled every which way that loose, they actually we're doing the CCIs, they were the ones filling out the CCIs. A lot of them got pulled for that as well as for clinical. We've had to step up as the physician advisors and medical directors of CDI and come to escalating things to physicians who are more than direct contact than it had been before. There's some increased responsibility in that setting. A lot of things that we were doing as far as projects ourselves, as well as those with quality and other stakeholders have like everything else a little bit been on the hold and those are starting to creep back in. Then as I was mentioning before, I have been serving as the physician listing, is the official name of what we do here, the PCCS role for the command center It's the physician clinical support supervisor. Like I mentioned, we are the liaison between frontline providers and in our C-suite in the command center.",G2
"Got it. Okay. If that's the case then my next question is, I told you a little bit about lung ultrasound and I'm wondering, how do you make—how do you discuss an intervention like this where you feel like there's gonna be a clinical benefit? How do you make it something that the administrators will invest in and come on board with?","Well, obviously there's a cost savings, that's important, but also before we did this interview, I thought we were talking about just specifically POCUS and specific things with the lungs that we were already doing. The reason that, that was important too, was, is one of the patient's safety indicators through DHHS is Iatrogenic pneumothorax. You can imagine there, well, where in the setting of pneumothorax, the data could be much improved. I would presume from doing direct visualization, thorax and teases, as opposed to doing those blindly. Anything that can show value to patients and improve outcomes obviously is important. Anything that would help the patient's experience. Maybe in this example, they have a bedside study instead of having to go to and fro to radiology, or go for a CTPE that might be avoided and that sort of thing. Really cost value, which probably with inequality a definition of value. Then patient experience, I think are the big ones.",G2
"Oh, great. We know that's all well-documented the literature that patients love POCUS and so it's actually not even something I am collecting data on because it's so well known. How are those metrics acquired and talked about in our hospital in terms of the patient experience?","Yeah. The patient experience specifically part that's under not my umbrella it's really under Patrick's and now it spread out in a different way, but I think before it related a lot to surveys, the data that came back through CMS data, the specific questions that were asked of the patients that sort of thing. Then we would actually—we would compare how we were doing and with patient experience against best in class I'll call, and as well as along in our system a competition across our system to be the best there too, as far as UCH.",G2
Do you feel like that—is that another big driver of  what's invested in?,"Oh, yeah, I think so. I'm jumping ahead, but certainly if that data is already there and clear, that certainly would be in a courtroom to include in a case for this.",G2
Got it. Okay. What else?,"'Cause if you think about it, that's big driver, not only in reputation, but also on value-based purchasing and other things, so—",G2
"Right. I'll just tell you a little bit about the billing data that we've collected. Basically, we're collecting $23 per lung ultrasound and in terms indications for lung ultrasound. It's basically again, there are centers that are using it as for—and the data supports using it as first-line for anyone who is dismic 09:08 or anyone who has any changed decompensation in their respiratory status, and also actually in the emergency room. I'm actually working with the ED to implement among their providers as well. The other piece of it actually, is that this is not unique to hospital medicine. I think we're one of the people that are really pushing for it nationally, but it's also actually in other subspecialties. I think like the people I know involved, certainly the ICU, ED, family medicine, anesthesia, who else? I think even surgery, I got some emails about projects on that service as well. Essentially, there are tons of subspecialists who want this technology and we're all moving toward it. I'm wondering how that helps push things forward? The fact that it's not just like one division, I guess.","Well, I think anything that is far reaching, whether it's far reaching across the hospital or especially if it's something that's far reaching across the system is always an advantage.",G2
What role do you think guidelines and studies play in adoption by administrators in supporting the infrastructure for something like this.,"I think that that doesn't hurt and when you present to whatever group you're gonna present to obviously not going into a huge level of detail, 'cause there will be people probably that aren't necessarily clinical, but getting the salient points across and obviously the broader the audience of the studies the better.",G2
"Based on what I've told you so far, what pitfalls do you potentially see in implementation or from the perspective of your perspective in terms of what you do or some of the other stakeholders that I basically talk to clinicians, I don't really talk to any other administrators. Anything else that you think is a potential pitfall or a facilitator that I should talk about?","Sure. I think the two things that come to mind and I'm not sure exactly where these would fall into those categories, but just things that come to mind is as if we're going to be doing more ultrasounds than study and radiology, radiology is certainly a stakeholder in that. I think we've already gotten a good relationship with, as you mentioned the ICU folks, so that probably is not an issue. They're probably be thankful that those are being done out on the floor as well. Again, the role or lack of role of need for radiology techs to come and help what impact that is. Is that gonna be less work because they're not having to come and do films as much as there's gonna be more work for some reason? What that impact is gonna be? Would be a couple of things I can think of offhand.",G2
"Actually, they're very much on board, which is really interesting. It was actually the—actually one of my radiology—I was thinking about it in heart failure and then it was actually one of my radiology colleagues who we're in the same research training group. He was like, ""Can you please get people to stop ordering chest x-rays with your lung ultrasound?"" That's how that conversation got started in terms of the de-implementation or replacement of chest x-ray with lung ultrasound in terms of my own work. Then I've been able to talk with the chair of chest radiology as well as the head of radiography, and so they actually gave me all of the really compelling financial information about that. The fact that the tax, they were like, if half of the x-rays went away, we would be happy. It wouldn't be we were having to lay people off, or it would be some problem for us at all so—",Are you looking now mostly at UCH?,G2
"Right now, we're looking at UCH, but I think that this is probably the same. Right now, I'm focused on UCH because this is where our pilot study is gonna be going forward, but I think that these principles hold nationally with the exception of maybe the VA.","I just don’t know if [crosstalk 14:26] financial impact that's a little bit different in the private hospitals than might be at the university. If you're thinking of expanding it outside of academia, I would certainly re-engage any of those local folks as well.",G2
"That's a good point. Yeah, and in particularly if they're not doing the really fancy tertiary care center tests, right? Like chest x-rays, maybe something because—","I don't know what that impact would be financially on other or other on radiology, but it would be good to know whether you started doing that or are implementing things I would think.",G2
"Yeah, that's a great point. Yeah. Right now, we're just really looking at academic centers. I think the VA is the other place where no one really cares too much about, tuff too much because of their billing set up, but yeah. I think that those are all my big picture questions. Actually, what can you think of another initiative that, or other things that have been taken up by the system successfully, and then some that have, have not and talk about sort of the differences between those so I can learn from successful examples?","Yeah. Gosh. I'm trying to think, because in CDI the focus has been a little bit narrower as far as 'cause a lot of this stuff is more utilization management. You think about maybe analogies would be what of the super expensive, maybe not covered chemos and other high-cost drugs are accepted those kinds of things. I think in that setting, if people say I want a drug because I want a drug that's not very effective, [laughter] but if they can show the data on it to make P&T committee and all the ones involved be supportive. Even if it's not a money maker to show clear at patient benefit and evidence that it will be effective and how we're gonna navigate the payment piece or not payment piece, et cetera. I think that's successful. I think folks historically that have asked for things and said, ""Well, we need this and we want this."" Whether that be asking for more faculty, asking for more toys, asking for a new fancy hip replacement type, that sort of thing that really doesn't fly. I wouldn't expect that you would do that, but it can't be just, I want and I need without some background information.",G2
"Got it. As much as you— Oh, go ahead.","Also, in thinking about the respiratory viral panels and the flu tests and GI and PCRs and when to test for C. Diff and use the toxins or not. All those things apply as well. Its really data driven.",G2
"Then who hears these arguments? How does that work? You have some clinician with an idea, they're getting their arguments and ducks in a row. Then how does it work up the chain to the person who's gonna make the decision?","That's a good question. 'Cause there's been in the last few months, a lot of a fair amount of re-organization of committees, like trying to make sure that they make sense that there's a good reporting structure that there aren't excessive duplicative committees and things like that. I'm thinking to start with the players that historically have been looking at these things are our COO. Then of course, our CMO and if it has a quality related effect, our CQO. There is a CMO/CQO meeting where sometimes things get presented. Then now it's been redesigned I think, that a lot of things were presented at the CEPS committee, the clinical effectiveness patient safety committee, that Jeff had put together. It wouldn't be too hard and unfortunately, I wish I had a better answer for the exact interview for the purposes you said that you're doing it. I don't think it would be hard for me to find out where the best venue would be. I can do that—",G2
That'd be great.,- offline and try to help figure it out that what would be the most effective way to go with it.,G2
"Okay. Thanks. Then, so it sounds like it's basically cost of it, evidence of efficacy and patient experience. Those are the big drivers?","Yes. Of course, if they can do anything to automatic quality metrics, like I said, in the setting of if you wanted to do ultrasound, which you're already doing to do a thoracentesis and it can decrease the number of deems that we get from CNS for having, Iatrogenic pneumathorax, figuring that, that's a benefit.",G2
"Yeah, definitely. Okay. The procedural piece. Where are the quality metrics? Is there a list of those?",I was gonna show you this. I was actually gonna collect some data for you for what turned out to be the wrong thing.,G2
